Date,Price
2019-01-02,1.607
2019-01-03,1.658
2019-01-04,1.711
2019-01-07,1.714
2019-01-08,1.758
2019-01-09,1.823
2019-01-10,1.842
2019-01-11,1.826
2019-01-14,1.796
2019-01-15,1.805
2019-01-16,1.821
2019-01-17,1.806
2019-01-18,1.836
2019-01-22,1.828
2019-01-23,1.821
2019-01-24,1.819
2019-01-25,1.836
2019-01-28,1.797
2019-01-29,1.851
2019-01-30,1.858
2019-01-31,1.841
2019-02-01,1.865
2019-02-04,1.866
2019-02-05,1.856
2019-02-06,1.872
2019-02-07,1.851
2019-02-08,1.863
2019-02-11,1.833
2019-02-12,1.845
2019-02-13,1.875
2019-02-14,1.91
2019-02-15,2.017
2019-02-19,1.995
2019-02-20,1.954
2019-02-21,1.969
2019-02-22,1.957
2019-02-25,1.905
2019-02-26,1.933
2019-02-27,1.953
2019-02-28,1.955
2019-03-01,1.924
2019-03-04,1.915
2019-03-05,1.913
2019-03-06,1.906
2019-03-07,1.898
2019-03-08,1.897
2019-03-11,1.894
2019-03-12,1.884
2019-03-13,1.906
2019-03-14,1.894
2019-03-15,1.886
2019-03-18,1.886
2019-03-19,1.905
2019-03-20,1.923
2019-03-21,1.904
2019-03-22,1.882
2019-03-25,1.907
2019-03-26,1.915
2019-03-27,1.903
2019-03-28,1.897
2019-03-29,1.896
2019-04-01,1.916
2019-04-02,1.932
2019-04-03,1.931
2019-04-04,1.934
2019-04-05,1.967
2019-04-08,1.979
2019-04-09,1.969
2019-04-10,1.993
2019-04-11,1.986
2019-04-12,1.977
2019-04-15,1.969
2019-04-16,1.989
2019-04-17,1.979
2019-04-18,1.986
2019-04-22,2.021
2019-04-23,2.032
2019-04-24,2.016
2019-04-25,2.022
2019-04-26,1.958
2019-04-29,1.969
2019-04-30,1.99
2019-05-01,2.006
2019-05-02,1.976
2019-05-03,1.977
2019-05-06,1.992
2019-05-07,1.955
2019-05-08,1.986
2019-05-09,1.977
2019-05-10,1.998
2019-05-13,1.97
2019-05-14,1.997
2019-05-15,2.028
2019-05-16,2.072
2019-05-17,2.043
2019-05-20,2.023
2019-05-21,2.038
2019-05-22,1.984
2019-05-23,1.905
2019-05-24,1.943
2019-05-28,1.939
2019-05-29,1.922
2019-05-30,1.875
2019-05-31,1.802
2019-06-03,1.761
2019-06-04,1.785
2019-06-05,1.738
2019-06-06,1.778
2019-06-07,1.799
2019-06-10,1.783
2019-06-11,1.8
